Job_Cd,Job_Title
14206,SPECIAL RESEARCH ASSOCIATE
10886,"DIR, ENVIR HLTH SAFETY"
10675,SR ASSOC DIR ATHLETICS
10473,"DIR, RSCH COMPUTING & INNOV SO"
10633,"DIR, TRAINING & DEV"
10418,"DIRECTOR, EMPLOYEE RELATIONS"
10359,DIR RSCH COMP/COMM
10476,"DIR, APPLICATION DEV & SUPPORT"
10989,"ASST VICE PROVOST, IT"
19878,"SR INFO SEC ANALYST, IT"
10698,ASSISTANT DEAN
10722,"ASC REGIONAL DIR, TECH & COMM"
10960,DIRECTOR OF ADMISSIONS
10168,DIR TRACK/FLD CRS CNTRY
10808,"DIR, BUSINESS CONTRACTS"
16318,"CAPTAIN, UNIVERSITY POLICE"
10713,"DIRECTOR, TECHNOLOGY CENTER"
10897,"Director, Fac Bus & Cust Svcs"
10303,Dir of COE Student Success CTR
10227,"DIR, RES FINANCIAL ADM"
10484,"DIR, CUSTOMER SRV & OPS SPPRT"
10565,"DIR, LEARNING TECHNOLOGIES"
10873,"DIRECTOR, UTILITY MANAGEMENT"
10812,CHIEF OPERATING OFFICER ITC
10469,ASSOC VICE PROVOST ASSESSMENT
10126,Director of Operations
10913,EXECUTIVE DIRECTOR ADVISING
10907,DIRECTOR UNIVERSITY CENTER
10993,SR ASSOC AD BUSINESS
10240,"DIRECTOR, LIBRARY COMM"
10983,"DIRECTOR, CAMPUS RECREATION"
10610,"DIRECTOR, CAREER SERVICES"
10042,ASSOC PROF OF RESEARCH
10478,DIRECTOR ONLINE LEARNING
10238,SR DIR ADVMT INF & STRT ANALYT
17530,ENTRPRS RES APPL SUPP ANALYST
10175,"ADMIN PROGRAM DIR, ONLINE PRGS"
10032,VISITING ASSISTANT PROFESSOR
17515,OIT MGR APP DEV/SPPRT
10333,"ASSOC DIR, EAST ASIA INST"
10587,"DIR, STUDENT FINANCIAL AID"
10043,ASST PROF OF RESEARCH
10814,"EXECUTIVE DIRECTOR, TRC"
15015,SENIOR PROJECT MANAGER
10475,DIR OF STUDENT COMP SERVICES
10479,DIRECTOR VIDEO TECHNOLOGY
10416,ASSOCIATE COUNSEL
10863,EXEC DIRECTOR OF OPERATIONS
10363,"DIR, GRANTS & CONTRACTS FINAN"
10314,PLANT ENGINEER
10644,ASCT DIR STUDENT AFFRS BUDGET
10609,"DIR, DISABILITY SERVICE"
10630,AST DIR ENTPRS MGD SOLUTIONS
17524,OIT MGR SYS INFRAST SVC
17523,OIT MANAGER - COMM INFRAST SVC
10843,RESEARCH  SERVICE CENTER DIR
19311,SR SYSTEMS ADMINISTRATOR
10336,DIR ENDOW COMP/GIFT SVC
10979,EXEC DIR DT STU AFF OPE
17531,ENTRPRS RESEARCH SOLN ENGR
10689,VOLLEYBALL COACH
10569,DIR DISBURSMT/TRAVEL SERVICES
10255,Director for Research Support
10343,DIR PROSPECT MGMT/RESCH
10310,RESEARCH SCIENTIST
10921,"Ex Dir&Rsch Asct,Acd Tchr Excl"
10950,ASST TO  ATHLETIC DIRECTOR
19387,Sr Competition Dvlpmnt Coord
10427,STUDENT OMBUDSPERSON
10995,"DIRECTOR OF OPERATIONS,CON TEX"
10414,"Director, Office of EOS"
10114,HEAD OF LIBRARY SYSTEMS
10703,EXEC DIRECTOR INTL PROGRAMS
10325,"DIRECTOR, P-20 PROGRAMS"
10143,Exec.Dir.Strategic Initiatives
10334,"DIRECTOR, OPERATIONS"
10280,DIR EXT ED/DT SPCL EVTS
17529,OIT MANAGER-PLATFORM APP SRVS
10558,SR Assc Dir Fin Svcs & Unv Bur
10790,DIR SPEC EVENT/FOLKLIFE
10801,ASCT DIR BDGET PLNG/DEV
10624,DIRECTOR CHILD CARE DEVELOP
10234,PS HCM APPLICATION SRVS MGR
10666,ASST DIR OF OPS & MAINT
10382,ASSOCIATE DEAN OF STUDENTS
10773,DIRECTOR OF GRAD STUDENT SVCS
10694,"EXEC DIR, MARKETING"
10296,ASSISTANT DIRECTOR PURCHASING
10440,"ASSOCIATE DIRECTOR, CPE"
17514,SR ENTRPRS SYS PROG
10267,SENIOR ACADEMIC ADMIN MANAGER
10050,LECTURER I
19284,"SR INFO SEC PROJECT LEAD, CIAS"
19286,INFO SECURITY INSTRUCTOR II
10674,ASST MENS BSKBALL COACH
10286,DIR OF DEVLPMT COMMUNICATIONS
19319,SENIOR SYSTEMS ANALYST
10998,ASSOCIATE PROGRAM DIRECTOR
10791,"DIRECTOR, COMMUNICATIONS"
10623,ASSOC DIR FINANCIAL ASMT & REP
10976,"ASSOC DIR BUSINESS OPS, IED"
10442,LABORATORY COMPLIANCE MANAGER
10584,DIRECTOR OF TESTING
10784,Dir of Comm and Administration
10600,"DIRECTOR, NEW STUDENT PROGRAMS"
10300,ASST DIR OF STUDENT SUCCESS
10292,ASSOCIATE AD ACADEMIC SERVICES
10632,LAB SAFETY MANAGER
10488,DIRECTOR OF DEVELOPMENT
10221,ENVIR/CONSTR SAFETY MGR
10342,DIR CULTIVAT/DONOR RELATIONS
10691,MEN'S BASEBALL COACH
10188,ASSISTANT DIRECTOR
10115,"HEAD, DOWNTOWN LIBRARY"
16319,"LIEUTENANT, UNIV POLICE"
10110,"ASSOC DIR, GEMS TEACHING PRGMS"
10729,GLOBAL SMALL BUS INT COORD
10209,RISK AND LIFE SAFETY MANAGER
10857,DIRECTOR. SPECIAL PROJECTS
10467,DIRECTOR GRADUATE ADMISSIONS
10347,DIR CONTRACTS/INDUST AG
10777,"DIR RESEARCH, EXHIBITS & COLL"
19010,EXECUTIVE ASSISTANT
10920,ASSISTANT TO VICE PROVOST
10951,"ASSOC AD, ATHLETIC MEDICINE"
10718,SR PROJECT MANAGER
10190,Associate  Director
10361,DIRECTOR OF REPORTING
18325,ART SPECIALIST
10754,DIRECTOR OF ADVANCEMENT
19510,HR MANAGER
10140,"DIR,SBDC NATL INF CLGHS"
10052,LECTURER III
10725,DIRECTOR CENTER FOR ARCH RES
19124,BUSINESS INTELLIGENCE ANALYST
10957,HEAD STRG/COND COACH FOOTBALL
10163,Associate Athletics Director
17508,ENTRPRS DB SPEC
10785,DIR DT CAMPUSES FACLTS
17513,ENTRPRS SYSTEM PROG
10111,HEAD OF CTLGNG/MTDTA
17517,SR IT INFRAST PROJ MGR
10997,"DIR, STU ENROLLMENT SER"
19640,HUB Program Manager
19514,COMPENSATION MGR
10298,ASSOC DIR FISCAL ADMIN
10845,EXE DIRECTOR OF COMMUNICATIONS
10665,"Asst Director, Utility Ops"
10283,Director of Services
10139,AST DIR OF SPACE MANAGEMENT
19317,OIT INFO SECURITY ANLST
10253,DIRECTOR COMMUNITY OUTREACH
17510,ENTRPRS DATA ARCH
10755,ASSISTANT DIRECTOR
10358,"Dir, Engagemnt & Talent Devlpm"
10326,"Sr. ASSOCIATE DIRECTOR, EMCS"
15017,FACILITIES PROJECT COOR
17013,Sr Rsch Compliance Coord
10116,HEAD OF ACQUIS & SERIAL
10281,ASSOCIATE DIRECTOR TX/SA PREP
10466,DIRECTOR HEALTH PROF OFFICE
10242,OCCUP HEALTH & WELLNESS MGR
19157,TECHNOLOGY LICENSING ASSOCIATE
10387,"DIR, BUS CONT EMERG MGT"
19004,ADMIN SERVICES OFFICER III
14208,RESEARCH SCIENCE ASSOCIATE IV
19167,CAPITAL/SPCL PROJ ACCT
10477,DIRECTOR ANALYSIS & CERT
10341,SENIOR ASSOCIATE DIRECTOR
19366,SOFTWARE SYSTEMS SPEC III
10634,DIR OF MKTG AND COMMUNICATIONS
10779,SR ASSOC DIR OF DIGITAL MKTG
10542,"ASSISTANT DIR, PAYROLL"
10106,DIRECTOR OF EVALS & SURVEYS
10914,"DIRECTOR, ACADEMIC ADVISING"
10706,SR BUSINESS DEV SPECIALIST
10514,"DIRECTOR, ALUMNI PROGRAMS"
10321,DIRECTOR SECURITY SYSTEMS
19870,OIT SUPPORT SERVICES MANAGER
10851,ASSOCIATE DIRECTOR WEB/PORTAL
19511,BENEFITS MANAGER
10915,"DIRECTOR OF BUDGETS, BUS AFFRS"
19812,SENIOR IT PROJECT MANAGER
19031,EXEC ASST OFFC OF PRES
10207,CONTRACT MANAGER
10183,"ASSOCIATE DIRECTOR, ACCOUNTING"
10262,ASSOC DIR FOR CSPD
10180,RESEARCH FELLOW
10549,SENIOR GRANT DEV COORDINATOR
10462,ASSOCIATE DIRECTOR HOUSING
10022,VISITING ASSOCIATE PROFESSOR
10128,HEAD SPECIAL COLLECTIONS
10038,ASSOC PROFESSOR IN PRACTICE
10608,SENIOR CYBER STRATEGIST
10774,ASSOCIATE AD FOR COMPLIANCE
10352,SIS FINANCIAL ACCTG MANAGER
10628,BUSINESS MANAGER
15091,SR FAC PLANNING ANALYST
10278,TECH PROJ MGT LIBRARIAN
18419,"MANAGER, VIDEO PRODUCTION"
10153,HEAD OF REFERENCE SERVICES
10891,ASSOCIATE HEAD  COACH
16320,"SERGEANT, UNIV POLICE"
19282,SR INFO TECH ASSOCIATE
10039,ASST PROFESSOR IN PRACTICE
19156,Tech & IP Management Splst
17528,OIT MANAGER - CLIENT SUPPORT
15126,RESEARCH ZONE MAINT MANAGER
15128,E&G ZONE MAINTENANCE MANAGER
10176,"Head,Rsch & Educational Svcs"
10113,HEAD OF ACCESS SERVICES
10783,Asst Dir Fac Cust Svcs
10330,Sr Psychologist
19316,IED/IT OPERATIONS MANAGER
10980,"ASST REGIONAL DIRECTOR, SBDC"
10428,"ASST DIRECTOR, OFFICE OF EOS"
17501,ENTRPRS SYS ENGINEER
10051,LECTURER II
15092,SR ENVIRONMENTAL PLNR
15302,FAC CONTROL TECH LEADER
10223,ASSOC DIR RES LIFE & ED
10606,"DIRECTOR, NURSING SERVICES"
10434,ASSOC DIR HOUSING OPERATIONS
10196,"DIR, INST LAW & PUBLIC AFFRS"
19841,TECHNOLOGY RESEARCH ANALYST
19198,BUD DEC SUPPORT ANALYST II
17505,ENTRPRS NTWK ENGINEER
10404,DIR TOP SCHOLARS
10839,"DIR, REGISTRATION AND RECORDS"
10187,ASSISTANT DIRECTOR
10747,ASSOC DIR CAREER SERVICES
16640,ENV & CONST SAFETY COOR
10885,ENERGY MANAGER
17527,ENTERPRISE CLOUD SOLUTIONS ENG
17519,"MANAGER, A/V NETWORK ENG SRVS"
10929,ASST DIR LEARNING TECHNOLOGIES
18114,LEAD TRNG/DEV SPECIALIST
19199,ACCOUNTING FINANCIAL ANALYST
10295,"DIRECTOR, STRENGTH & COND"
10202,"MANAGER, CUSTODIAL SERVICES"
19320,SYSTEMS ANALYST III
19323,PSSC FMS BUSINESS ANALYST II
10903,DIRECTOR OF SUSTAINABILITY
10431,HEAD WOMEN'S SOCCER COA
10789,FISCAL/BUSINESS MANAGER
10169,ASSC HEAD COACH TRACK & FLD
10132,TEACH & LEARNG CONSULTANT
19330,PSSC HCM BUSINESS ANALYST I
10451,Dir Aca Catalogs & Scheduling
17010,SR COMPLIANCE MGT ANALYST
10736,DIR OF FIRST-YEAR EXP PROG
10719,SR INTL BUS DEVELOPMENT SPEC
10383,ASSISTANT DEAN OF STUDENTS
10366,"ASST DIR, NURSING SERVICES"
18125,FIELD EDUCATION SPECIALIST
14421,LAB SERVICES SUPRV III
10717,PROJECT MANAGER
19145,SR RESEARCH AWARD COORDINATOR
10205,INFO TECH LIBRARIAN
19178,SR INSTIT RESEARCH ANALYST
10730,"DIR, INTL UNDERGRAD ADMISSIONS"
19158,ACAD AFFRS OMBUDSPRS
19029,ASST TO DEAN OF STUDENT
14105,BUSINESS/ECO RES ASSOCIATE V
10842,ASSOCIATE DIRECTOR
19005,ADMIN SERVICES OFFICER II
10749,DIRECTOR OF CLINICAL TEACHING
19008,ASSISTANT TO THE DEAN
19263,SENIOR MANAGEMENT ANALYST
19150,FISCAL MANAGER
10338,MANAGING EDITOR
10692,WOMEN'S SOFTBALL COACH
19163,SENIOR ACCOUNTANT
17516,IT INFRAST PROJ MGR
19017,Center Coordinator
10241,"ASSOC DIR, ENRL SERVICES CMPL"
10982,ASSOC DIR ONE STOP ENRL CENTER
10838,ASSOCIATE DIRECTOR
15012,SPRTNDNT/CONST & MAINT
19015,COMM MGR FINANCIAL AFFRS
10878,INVENTORY MANAGER
10293,"PROJECT MANAGER, MARKETING"
17526,ENTERPRISE CLOUD SOLUTIONS ADM
19349,RESEARCH SOFTWARE DEVELOPER I
17522,OIT TECHNOLOGY SOLUTIONS INNOV
10819,"DIRECTOR, ASSESSMENT"
19331,PSSC HCM BUSINESS ANALYST II
19648,SR PROCUREMENT SPECIALIST
15127,AUX SVCS ZONE MAINT MANAGER
10369,"DIR, CERT TEST & PROG ACCT"
19273,SIS SECURITY MANAGER
10690,GOLF COACH
19002,ADMINISTRATIVE ANALYST
10211,"DIRECTOR, TUTORING SERVICES"
10212,"DIRECTOR, SUPP INSTRUCTION"
10147,SCHOLARLY RESRC LIBRARIAN II
15321,TELECOMMUNICATIONS MGR
19052,SENIOR LEGAL COORDINATOR
10430,Head Women's Golf Coach
19541,HUMAN RESOURCES ADVISOR
10550,AST DIR GRANTS&CONTRACTS FIN
10727,DIR INTL SCHOLAR & SPONS SRVS
10127,METADATA LIBRARIAN
18543,"MANAGER, LEARNING TECHNOLOGIES"
19160,ACCOUNTANT III
19877,WEBMASTER
15140,UTILITIES & PROJECT  ANALYST
13089,Academic Program Coordinator
19271,"INFO SECURITY SPECIALIST, CIAS"
18636,SENIOR COMMUNICATIONS COORD
16636,OCCUPATIONAL HEALTH COORD
19200,SR BUDGET ANLST
19203,INST RESEARCH ANALYST II
16334,POLICE OFFICER IV
10291,ASST AD FOR FOOTBALL
17525,ENTERPRISE INFO SEC SPECIALIST
10269,DIRECTOR OF PLAYER PERSONNEL
18124,FIELD EDUCATION PROJECT MGR
10131,COORDINATING EDITOR (ACS)
10728,"DIR,  EDUCATION ABROAD"
10324,"ASC DIR, UC COMM & PROGM"
19522,COMPENSATION ANALYST II
19122,RESEARCH ADMIN DATA ANALYST
15008,PREVENTIVE MAINT ZONE  MANAGER
16322,"CORPORAL, UNIV POLICE"
10313,SENIOR CLINICIAN
15211,ELECTRICIAN III
10046,CLINICAL ASSISTANT PROFESSOR
17007,QA/TRAINING COORDINATOR
11136,INFO SECURITY INSTRUCTOR - NE
10641,ASSOCIATE DIRECTOR UGRD ADMS
10217,ASSOCIATE DIR  FIN AID & SCHLR
10340,PSYCHOLOGIST
10612,AST DIR CAREER SERVICES
10552,Assoc Dir Academic Sprt Anls
10248,"Asst. Dir. Career Dev., CSPD"
10751,"Assistant Director, CSPD"
19314,"IT OPERATIONS MANAGER, COEHD"
18107,SENIOR INSTRUCTIONAL DESIGNER
18113,TRAINING/DEV SPECIALIST II
10152,ELECTRONIC RESOURCES COORD
10893,ASSOCIATE WOM BSKTB COACH
19518,EMPLOYEE REL ADVISOR II
10123,SCHOLARY RESRCS LIBRARIAN
10639,ASSOC DIR REG & RCRDS
19006,ADMIN SERVICES OFFICER I
10902,ASSC DIR STRAT PLAN/OPS
17008,COMPLIANCE MGT ANALYST III
18108,INSTRUCTIONAL DESIGNER
10307,RESEARCH COORDINATOR
10309,POSTDOCTORAL FELLOW
19159,CONTRACT NEGOTIATOR
17512,ENTRPRS PROG ANALYST
15501,QUALITY ASSURANCE MANAGER
15019,FACILITIES CONTRACT ADMINISTR
19536,SENIOR EO INVESTIGATOR
18680,COMM & CUSTOMER RELATION REP
17504,ENTRPRS NTWRK ANALYST
10367,ASSISTANT DIR DISBURSEMENTS
19835,ACADEMIC SCHEDULING CRD
18115,EDUCATIONAL SPECIALIST IV
18374,SR EVENTS MGR
16468,MANAGER DISTRIBUTION SERVICES
10539,FLEET MANAGER
10258,ASSOC DIR GRAD STUDENT SUCCESS
10376,"ASSOC DIR, GRAD RECRUIT & ENG"
19065,ANIMAL RSCS BUS OPS MGR
10035,ADJUNCT ASSISTANT PROFESSOR
10682,TENNIS COACH
10895,ASSOC HEAD ATHLETIC TRN
11020,REGISTERED NURSE COORDINATOR
19365,WEB DEVELOPER
14420,LAB SRVS SUPERVISOR II
14106,BUSINESS/ECO RES ASSOCIATE IV
19016,BUSINESS OPERATIONS MGR
19550,BUDGET PERF/PROJ ANLST
10374,"ASSOC DIR, EXT ED & DTC EVENTS"
19391,NET TECH/SUPPORT SP III
10963,ASSOC DIR OF ALUMNI RELATIONS
15056,PROJECT COORDINATOR
10598A,"ASC DIR, HEALTH CAREER OPP PGR"
10704,BUSINESS DEVLOPMNT SPEC
19174,BUDGET ANALYST III
10483,ASST STRENGTH/CON COACH
10117,"DIRECTOR, FIELD EDUCATION"
17511,ENTRPRS UI DES/DEV
10678,ASSISTANT VOLLEYBALL COACH
18328,GRAPHIC DESIGNER III
10151,DIGITAL ARCHIVIST
19020,SR ADMINISTRATIVE COORDINATOR
16344,POLICE COMMUNICATN SUPR
19816,CONTRACTS SPECIALIST III
14378,RESEARCH PROGRAM COOR
19051,SENIOR LEGAL ASSISTANT
19531,AFFIRMATIVE ACTION SPEC
13024,ED CAREER TRANSITION GUIDE
10120,INSTRUCTIONAL LIBRARIAN
10186,ASSISTANT DIRECTOR
15303,FACILITIES CONTROL TECH II
10378,"ASSOC DIR, GRAD ADMISSIONS"
19144,SR GRANTS/CONTRACTS SPEC
18637,COMMUNICATIONS COORDINATOR
10015,ADJUNCT PROFESSOR
10339,SPECIALIST CLINICIAN
17021,RESEARCH COMPLIANCE COORD
19364,WEB SPECIALIST
10304,"PRG DIRECTOR, COMM ENGAGEMENT"
19019,Senior Administrative Manager
10516,TRANSPORTATION SERVICES MGR
16333,POLICE OFFICER III
19280,INFO TECH ASSOCIATE II
11002,EXHIBIT COORDINATOR
18159,PROGRAM MANAGER
16430,ADVANCEMENT & MEMBERSHIP MGR
10429,"ASSISTANT DIR, FIT/ WELLNESS"
16340,Bus Cont & Emrg Mgmt Spec
10517,"ASSISTANT DIR, DEVELOPMENT"
15089,FACILITY PLANNING ANALYST
15065,WORK CONTROL MANAGER
19027,SR ADMINISTRATIVE ASSOCIATE
10391,ASSOC DIRECTOR ADVISING
16620,RADTN/LASER SFTY COORD
18416,SENIOR PRODUCER
10104,Ast DIR PROSPECT MGMT & RSCH
10294,CREATIVE SERVICES MANAGER
10782,ASSOCIATE DIR ORNT & TRNS PG
10827,"ASST DIR, INTL STUDENT SERVICE"
10393,UC BUSINESS MANAGER
19018,ADMINISTRATIVE MANAGER
10603,PROJECT DIRECTOR
13072,"ACAD ADVISING COORD, ONL PROG"
19037,GRANT ACCOUNTANT III
19080,BUSINESS AUXILIARY OPS MGR
18415,PRODUCER
10165,"LEAD LIBRARIAN, SBDC"
13084,ACADEMIC ADVISOR IV
19151,SR TIME & LABOR ANALYST
19321,SYSTEMS ANALYST II
15309,Fire & Life Sfty Sys Tch III
15086,SPACE INVENTORY MANAGER
10787,MARKETING MANAGER
10157,ASST DIR OF DONOR RELATIONS
17006,COMPLIANCE MGT ANALYST II
10625,ASSOCIATE BURSAR
15218,PLUMBER III
15287,MAINTENANCE LEADER
10489,DIR SCHOOL PARTNERSHIPS
19187,SENIOR PAYROLL ACCOUNTANT
19389,CYBER SEC COMPETITION ENG
10130,RARE BOOKS LIBRARIAN
18816,PHOTOGRAPHER III
10748,"AST DIR, TEACHER CERTIFICATION"
17500,ENTRPRS SYSTEMS ADMIN
16641,ENVIRON WST/REC SFTY COORD
11058,STAFF NURSE II
19337,CUSTOMER SUPPORT SUPERVISOR
10210,"AST DIRECTOR, INT SCHOLAR SRVS"
16616,SAFETY SPECIALIST III
15007,SECURITY SYSTEMS LEAD
19132,RESEARCH POST AWARD ADMR III
19532,CLERY COMPLIANCE COORDINATOR
10161,ASSISTANT ATHLETICS DIRECTOR
10952,"ASSISTANT AD, ACADEMIC SVCS"
19524,SR COMPENSATION ANALYST
10853,Asst Dir of Univ Comms
10122,INTERLIBRARY LOAN LIBRARIAN
10206,MULTIMEDIA MANAGER
10613,Ast Dir Prof Dev & Diversity
15233,CARPENTER III
19164,CREDIT CARD PROGRAM MGR
11062,HEALTH  EDUCATION SUPERVISOR
10145,STDT ENGAGEMENT LIBRARIAN
10681,ASSISTANT TRACK COACH
15212,ELECTRICIAN II
10923,"ASST DIR, OTDR PURSUITS"
18657,MULTIMEDIA SPECIALIST II
19161,ACCOUNTANT II
19818,CONTRACTS SPECIALIST II
18327,SENIOR GRAPHIC DESIGNER
13110,CAREER COUNSELOR III
19148,RESEARCH PRE-AWARD ADMR III
10297,ASSISTANT DIR TESTING SVCS
19545,LEAVE SPECIALIST II
10677,ASST WOM BSKTBALL COACH
19546,LEAD HR SPECIALIST
19385,NETWORK ANALYST I
13667,Registrar Officer II
15122,VEHICLE MAINTENANCE SUPERVISOR
10890,ASSISTANT DIR UC EVENTS MGT
19070,DISBURSEMENT/TVL SPRVSR
18102,SENIOR PROGRAM COORDINATOR
10184,ASST ATH DIR TICKET OPS
18630,COMMUN & DEVEL COORDINATOR
10226,"ASSOC DIR, FIRST-YEAR EXP PROG"
10150,ARCHIVIST
10025,ADJUNCT ASSOCIATE PROFESSOR
10024,INTERIM DEPARTMENT CHAIR
18130,INSTRUCTIONAL TECHNOLOGY SPEC
15305,FACILITIES OPS COORD-A&E PLANR
10329,RESEARCH COMPLIANCE COO
11258,COORDINATOR HH SERVICES
13666,SR Registrar Officer
19104,GIFT SERVICES MANAGER
19542,HUMAN RESOURCES SPEC II
10743,ASSISTANT DIRECTOR OF ADVISING
14437,RSCH INSTRUMENTATION COORD
18087,LEAD CURATORIAL RESEARCHER
16705,VISITOR SERVICES MANAGER
19277,INFO SECURITY SPECIALIST
19188,PAYROLL ACCOUNTANT
10934,"Asst Dir, Government Relations"
10185,ASSISTANT DIRECTOR
13049,SENIOR STUDENT DEV SPECIALIST
13085,ACADEMIC ADVISOR III
10389,"ASSISTANT DIRECTOR, ESL"
18653,MULTIMEDIA DESIGNER III
19109,ATHLETICS ACADEMIC COORD II
18088,SENIOR CURATOR
15300,MECHANICAL MAINT TECH III
17017,COMPLIANCE TRAINING COORD II
15130,UTILITIES OPERATION LEADER
19166,SUPERVISOR OF ACCOUNTS
13043,SR Fin Aid  & Scholarship OFCR
13111,CAREER COUNSELOR II
17030,Sr Enrl Svcs Compliance Spec
10793,INTL BUS DEV SPECIALIST
18638,SR COMMUNICATIONS SPECIALIST
10491,ASSOC ATHLETIC COMM DIR
13086,ACADEMIC ADVISOR II
11025,Geographic Info. Sys. Analyst
15217,"PLUMBER, HOUSING & RES LIFE"
18651,MULTIMEDIA EDITOR II
18105,PROGRAM COORDINATOR
16335,POLICE OFFICER II
13046,Fin Aid & Scholarship OFCR II
14447,ANIMAL RESOURCE SUP II
10129,COLLECTION ASSESS LIBRARIAN
16439,ENDOWMENT COMPLIANCE ANALYST
17535,AUDIO-VISUAL NETWORK ENG II
13059,SR One Stop Counselor
19061,"Program Manager, UHPO"
13616,SR UGRD ADMS COUNSELOR
15308,Fire & Life Sfty Sys Tech II
10259,ASSISTANT DIRECTOR
10056,SPECIALIST
10141,Special Projects Librarian
15326,ENTERPRISE COMMUNICATIONS TECH
13115,Associate Clinician
19873,COMPUTER SUPPORT SPECIALIST
19036,GRANT ACCOUNTANT II
19137,Contracts & Agreements Coord
17009,COMPLIANCE MGT ANALYST I
18372,EVENTS MANAGER
